,claim,label,justification,claim_date,speaker,reporting_source,location_ISO_code
1898,Robert Mueller applied and was interviewed for the job of FBI director the day before he was appointed Special Counsel.,Refuted,He was there to 'give advice on the type of person that we should select to be FBI director',2019-07-24,Donald Trump,Twitter,US
1899,The Trump campaign welcomed and made full use of Russian intervention  in the 2016 U.S presidential election.,Refuted,"The investigation into the matter could not prove that the
Campaign coordinated or conspired with the Russian government in its election-interference
activities ",2019-07-24,Adam Schiff,Mueller Hearings,US
1900,A dossier by former British intelligence officer Christopher Steele containing contacts between Russian officials and members of the Trump campaign started the investigation into Russian interference in the 2016 election campaign.,Refuted,The Dossier was received weeks to months later after the investigation had began.,2019-07-24,Steve Chabot,Mueller Hearings,US
1901,The Baltnews.lv news website is an “independent and not controlled by the state media.”,Refuted,Found to be connected to russian state media.,2019-07-24,Russian Foreign Ministry,Russian media,RU
1902,Paul Manafort case recovers between forty two and forty six million U.S dollars meaning the cost to taxpayers approaches zero in investigation into Russian interference in the 2016 U.S election.,Conflicting Evidence/Cherrypicking,Conflicting evidence from he two questions asked. One mentioned 32 million and another 42million ,2019-07-24,Jerry Nadler,Mueller Hearings,US
1903,London has no go areas.,Refuted,"From the question and answer pairs, everythign is very well explained. It seems that London does not have no-go areas, therefore the claim is refuted.",2019-07-23,Jason Patiotis,Facebook,GB
1904,London has a Muslim mayor.,Supported,"Yes, from the question and answer pairs it does seem like the mayor is a muslim. Therefore, the claim is supported.",2019-07-23,Jason Patiotis,Facebook,GB
1905,London is now one of the world’s most violent capital cities.,Refuted,From the Q&A it seems that London is never mentioned in any of the lists of the most violent cities. So the claim is refuted. ,2019-07-23,Jason Patiotis,Facebook,GB
1906,Police in Gujarat seized weapons from a mosque.,Refuted,"Although the QAs refute the claim based on an image search, the one link has a malware message, against opening and the other is from text on a fact-checker site. The question: is there any other record of the incident? would have been useful.",2019-07-23,Amar Singh Bidhuri,Facebook,IN
1907,Some government buildings in London are operating under sharia law.,Supported,This is correct,2019-07-23,Jason Patiotis,Facebook,GB
1908,More than 450 mosques have opened in London.,Supported,478 mosques have been opened in London ,2019-07-23,Jason Patiotis,Facebook,GB
1909,"19th century writer and feminist Margaret Fuller said: Today a reader, tomorrow a leader.",Supported,Confirmed.,2019-07-22,"EdVenture, Hartsville, US",Facebook,US
1910,"Rep. Ilhan Omar ""voted yes"" to ""provide further funding for the 9/11 First Responders Victims Fund",Supported,The answer and source supports the claim and shows that the rep did vote yes. The source is trustworthy.,2019-07-22,Marian Domansky Fisher,Facebook,US
1911,"Abraham Lincoln said ""America will never be destroyed from the outside. If we lose our freedoms it will be because we have destroyed ourselves from within.""",Refuted,"Since the claim is a quote and those words were not his specific words, then he didn't say them ",2019-07-22,,Facebook,US
1912,"Sen. Rand Paul ""voted no."" to provide further funding for the 9/11 first responders Victims Fund.",Supported,The Q&As clearly show that Paul did vote no for the extension of funding so the claim is supported.,2019-07-22,Marian Domansky Fisher,Facebook,US
1913,"Is Donna Shalala correct in saying that Children at Homestead migrant facility ""get 30 minutes over a month to talk to family members. If they were in a prison — a federal prison — they would get 300 minutes.""",Refuted,The 300 minutes for inmates is right but the amount of time the children get is hugely underestimated. ,2019-07-21,Donna Shalala,CBS Miami’s Jim DeFede,US
1914,President Donald Trump’s 2020 campaign is selling plastic straws with the president’s name on them.,Supported,There is proof of the straws being sold on the official merchandise website for the Trump campaign.,2019-07-20,,Conservative media outlets,US
1915,Botswana President was in a Plane Crash,Refuted,The vehicle was a helicopter and it did not crash. ,2019-07-20,Robert Mugabe Quotes,Facebook,BW
1916,Obama ‘Yanked’ Citizenship Question From Census,Refuted,Obama didn't remove citizenship from the census. ,2019-07-20,Kellyanne Connway,,
1917,That the Imo state has a debt of over N100 billion,Supported,The 2nd answer and source shows that the state has a debt of over 100 billion.,2019-07-18,Emeka Ihedioha,,NG
1918,Bombardier to open rail car assembly plant in the USA due to Trump’s reduced corporate tax rate.,Refuted,Seems the plant was opened for assembly not due to reduced ta  rate. Therefore the claim is refuted,2019-07-18,,Facebook,US
1919,"British Airways is giving free tickets to 5,000 people to celebrate its 50th anniversary.",Refuted,"It seems that BA held a concert rather than gave out free tickets. Therefore, the claim is refuted",2019-07-18,,,NG
1920,"Winston Churchill said  “You have enemies? Good. That means you’ve stood up for something, sometime in your life.”",Refuted,"Winston Churchill is found not to have said this, it's a quote taken from French author Victor Hugo.",2019-07-18,James Banescu,Facebook,US
1921,"Trump claims his deregulatory actions are saving American households $3,000 a year.",Conflicting Evidence/Cherrypicking,as the data which was used to decide the 3000 a year was refuted by several places.  ,2019-07-18,Donald Trump,,US
1922,"If you’re a black woman in America today — in New York City, you’re 12 times more likely to die in childbirth, four times more likely nationwide.",Supported,From the Q&A it seems that the statistic of black women being 12 times more likely to die in childbirth in the claim is correct. ,2019-07-16,Kirsten Gillibrand,CNN,US
1923,"French writer and philosopher Voltaire once said, “I may disapprove of what you say, but I will defend to the death your right to say it.”",Refuted,The answer and source say there is no evidence of the quote being said so the claim is refuted.,2019-07-16,Free Keene,Facebook,
1924,Judge in Epstein Case Found Dead of Apparent Suicide,Refuted,"The claim from Potatriots Unite is that it is a network of parody, satire, and tomfoolery: junk news. Hence, the claim is refuted.",2019-07-16,Fallis Gunnington,Potatriots Unite,US
1925,Ukraine’s language law prohibits Russian from being spoken by doctors and teachers.,Refuted,"although the official language is Ukrainian, the law states the the use of other languages, including russian, is allowed and guaranteed in the Ukraine. ",2019-07-16,"Russian Embassy, UK",Twitter,UA
1926,On 13 June 2019 Kenya’s finance minister Henry Rotich claimed that Kenya has been ranked 85th globally in e-commerce uptake.,Not Enough Evidence,"No evidence could be found. Hence, there is not enough evidence.",2019-07-13,Henry Rotich,,KE
1927,"President Muhammadu Buhari has no house in Abuja, Nigeria.",Refuted,QA 2 provides news article confirming Buhari owns a house in Abuja.,2019-07-13,Orji Uzor Kalu,The Cable,NG
1928,Atiku Abubakar chaired a council that “paid off Nigeria's entire debt” in 2006.,Refuted,"The claim is not true, Nigeria still has huge debt and it has not been paid off. ",2019-07-12,Atiku Abubakar,Facebook,NG
1929,Former Vice President Atiku Abubakar and His Team Cleared Nigeria’s Entire Debt In 2006.,Refuted,Figures show it had 2.20ngn trillion total debt in 2006.,2019-07-12,Atiku Abubakar,Facebook,
1930,"US senator Elizabeth Warren said, ""The law says that mental health must be treated the same as physical health,"" but coverage by health insurers is unequal.",Supported,The law was passed in 2008 which states that physical and mental health should be treated the same but health professionals do treat the conditions differently and physical health is dealt with more efficiently.,2019-07-11,,,
1931,"George Washington said, ""It is impossible to rightly govern a nation without God and the Bible.""",Refuted,No evidence shows that this claim is correct.,2019-07-11,,Facebook,US
1932,Poltergeist child star Heather O'Rourke was killed by a Hollywood pedophile ring,Refuted,QA pairs state actual cause of death and that the story is on a known fake news website.,2019-07-10,,,
1933,kenya's forestry sector contributes 3.6% of the national gross domestic product.,Not Enough Evidence,The source indicted that there was no sufficient evidence to prove that Kenya's forestry sector contributes 3.6% of the national gross domestic product. ,2019-07-10,Susan Kihika,,KE
1934,Ireland's national debt was 856 Billion Euros in 2019.,Refuted,Confirmed via source through a pdf link on page. (maybe source should link direct to pdf? ),2019-07-09,,Facebook,IE
1935,The Obama administration in the USA has cut the citizenship question from the US census in 2010.,Refuted,The question was changed prior to the Obama Administration. ,2019-07-09,Kellyanne Conway,Fox News,US
1936,Spain wants money from the UK to cover its debts.,Not Enough Evidence,No evidence is provided that supports this claim.,2019-07-09,,Facebook,ES
1937,The ACS (American Community Survey) asks about citizenship in the US census every fifth year.,Refuted,They are sent annually not every 5 years.,2019-07-09,Kellyanne Conway,Fox News,US
1938,Greece owes the EU €367 billion,Not Enough Evidence,No Debt data provided in QA Pairs to support or refute the claim.,2019-07-09,,Facebook,GR
1939,Greece has said it will collapse when we leave the EU.,Not Enough Evidence,The Q&A Pairs did not provide enough evidence for this claim. ,2019-07-09,,Facebook,GR
1940,"If the UK leaves the EU, France and Germany’s economies will collapse.",Refuted,There is no evidence to state that France and Germany's economies will collapse so the claim is refuted.,2019-07-09,,Facebook,GB
1941,Food stamp participation in America hits 10 year low.,Supported,True,2019-07-09,,Oann.com,US
1942,Italy owes 1 Trillion.,Refuted,"Q&A 2 shows that Italy owes 2.4 trillion in debt as a country, which is not the 1 trillion in the claim",2019-07-09,,Facebook,IT
1943,"Alexandria Ocasio-Cortez said  ""I’m speaking with myself, number one, because I have a very good brain and I’ve said lots of things.""",Refuted,"Alexandria Ocasio-Cortez did not say these words, rather it was credited to Donald Trump  on MSNBC’s ""Morning Joe.""",2019-07-09,,facebook,US
1944,"99.5 per cent of the Australian population is housed, about half a per cent of the population don't have a permanent roof over their head.",Supported,From calculating the figures given  in the Q&As the claim is correct. So the claim is supported. ,2019-07-09,Luke Howarth,ABC Radio National,AU
1945,Microwave Ovens Are Banned In Japan,Refuted,No evidence suggests this. ,2019-07-08,Divya Vedic Foundation,Social madia,JP
1946,"British prime minister Winston Churchill once said, ""A pessimist sees the difficulty in every opportunity; an optimist sees the opportunity in every difficulty""",Refuted,There is no record of the quote being made by Winston Churchill,2019-07-08,The Star,Facebook,GB
1947,The State of Florida passed a law that makes nudity legal at all public beaches.,Refuted,"Seems that you cannot b nude at a public beach in Florida. Therefore, the claim is refuted",2019-07-08, RAOUL STOCKTON, Empire News,US
1948,,Supported,The claim is correct.,2019-07-08,,,NG
1949,"That Joel Osteen's Ministries charge people for prayers via a ""prayer request account.",Refuted,There was a fake Facebook account posing as Joel Osteen Ministries that was fraudulently asking for money,2019-07-08,,Facebook,US
1950,No European country engages in electronic voting,Refuted,Estonia is in Europe and does use electronic voting.,2019-07-08,,,NG
1951,Female soccer players in the U.S are earning less money than male players.,Supported,Q&A 1 explains that yes overall women soccer players are paid less as they bring lesser revenue. which is in agreement with the claims point.,2019-07-08,Meg Kelly,The Washington Post,US
1952,Metropolitan police officers took part in the pride parade.,Supported,the claim is supported by the question-answer pair and source,2019-07-06,,Facebook,GB
1953,US president Joe Biden didn’t support any mandatory minimum prison sentences.,Supported,The quote suggests that Biden is against mandatory minimum prison sentences.,2019-07-06,Joe Biden,Youtube,US
1954,In the 1980s and 1990s violent crime was out of control.,Supported,The answer and the graph in the source do show that violent crime did increase in those decades so the claim is supported.,2019-07-06,Joe Biden,youtube,US
1955,The crime bill was opposed by Republicans.,Conflicting Evidence/Cherrypicking,All but eight Republicans rejected the bill,2019-07-06,Joe Biden,Youtube,US
1956,"Biden's crime bill  included Violence Against Women Act, It also included strengthening the Brady Bill on background checks, eliminated assault weapons.",Supported,Increased funding of the bill is an effort to strengthen it.,2019-07-06,Joe Biden,Youtube,US
1957,The UK is the best country for education in 2019.,Refuted,Ranked 3rd based on Answer provided.,2019-07-06,World Index,Twitter,GB
1958,"Joe Biden wrote into the 1994 Crime Bill that anyone arrested for for drug related crimes, who are suffering from drug addictions, should be diverted into drug courts.",Supported,Correct,2019-07-06,Joe Biden,Youtube,US
1959,Republicans didn’t like the fact that democrats removed mandatory minimums for first-time offenders.,Not Enough Evidence,"None of the evidence found comes to a conclusion on what the Republicans think about the Democrats removing the policy of mandatory minimums, it's safe to assume the Republicans did not agree with its removal by the Democracts but the QA didnt manage to discover any evidence backing that assumption.",2019-07-06,Joe Biden,Youtube,US
1960,Biden didn’t support more money to build state prisons.,Conflicting Evidence/Cherrypicking,"QA shows Biden supported $6 billion but not $10 billion of funding to build state prisons. Claim does not define what ‘more’ is, but clear that Biden supported at least some funding of state prison construction.
NB QA source links to a fact checking article.",2019-07-06,Joe Biden,Youtube,US
1961,"In 2017, The US had more arrests for marijuana possession  than for all other violent crimes combined.",Supported,The source shows that there were less arrests for violent crimes than for marijuana possession.,2019-07-05,Cory Booker,,US
1962,"Moscow, Russia, metro allows free rides to commuters for 30 squats",Supported,To promote the winter Olympics the Russian Olympics committee with the Moscow officials allowed passengers to board the train when they do squats ,2019-07-04,Aviator Anil Chopra,Twitter,RU
1963,Coconut oil is an antibiotic and can prevent dengue fever.,Conflicting Evidence/Cherrypicking,"Coconut oil may act as a repellant and stop insects that carry dengue fever from biting, but it does not prevent dengue fever if the insect still bites. ",2019-07-04,Philippines Report,Facebook,PH
1964,Whatsapp has been sold to Mukesh Ambani.,Refuted,"WhatsApp has been sold to Facebook. Though Mukesh Ambani has ties with WhatsApp, he does not own it.",2019-07-04,Anil Gowda,Facebook,IN
1965,The EU has decided to increase the size of fisherman’s meshes.,Conflicting Evidence/Cherrypicking,"The claim makes refernce to the EU deciding to chance the size of fishing net holes to increase their size, which as Q&A 1 states will result in less fish being caught.
Q&A 5 only shows that the EU wanted a minimum net size which is not an increase as claimed but could be for some fishermen depending.",2019-07-04,Ann Widdecombe,Twitter,GB
1966,EU change to mesh sizes has reduced fishermen’s income by 40%.,Not Enough Evidence,The claim even states there is no proof of the fishermen loosing 40% of their income,2019-07-04,Ann Widdecombe,Twitter,GB
1967,Fox News Channel reports that Justice Ruth Bader Ginsburg has suffered massive stroke.,Refuted,"Justice Ruth Bader Ginsburg did not suffered a massive stroke. The news was posted by an unverified Fox News Channel , which has since been taken down.",2019-07-04,Qanon NC,Facebook,US
1968,Varun Pulani is the director of WhatsApp.,Refuted,"Varun Pulani isn't the director, Carl Woog is. ",2019-07-04,Anil Gowda,Facebook,IN
1969,A proposed $4.6 billion US emergency aid bill wasn’t humanitarian.,Refuted,"Some of the aid in the bill the claim refers too was for military, but as mostly humanitarian aid so as the claim is absolutist then it is wholly wrong",2019-07-03,Republican Alexandria Ocasio-Cortez ,Twitter,US
1970,"US Republican Alexandria Ocasio-Cortez opposed it a proposed $4.6 billion US emergency aid bill, saying it wasn’t humanitarian.",Supported,"Seems from the question and answer pair that the Senator did vote against the bill. Therefore, the claim is supported",2019-07-03,Republican Alexandria Ocasio-Cortez ,Twitter,US
1971,"President Trump Said ""I Will Pay For July 4 Parade Out Of My Own Pocket""",Refuted,"According to the source links in the Q&A, the information in the claim was published on a satirical website, and was not regarded as verifiable information.",2019-07-03,,Taters,US
1972,President Trump said “I will pay for July 4 Parade out of my own pocket.”,Refuted,No evidence has been given here that supports this. The site quoting the matter was a satire site. ,2019-07-03,Fired Writer,Taters Gonna Tate,US
1973,"hen asked if the United States should have a military parade to show off its might, President Dwight Eisenhower said ‘Absolutely not. We are the pre-eminent power on Earth. For us to try and imitate what the Soviets are doing in Red Square would make us look weak.’""",Not Enough Evidence,there isn't evidence that Eisenhower said this. ,2019-07-03,,Facebook,US
1974,One in four South African employees have been diagnosed with depression.,Conflicting Evidence/Cherrypicking,"As much there's a study that claims this to be true, the study has several limitations ",2019-07-03,Fin24,Website,ZA
1975,About half of Customs and Border Patrol agents were members of a secret Facebook group page that included offensive posts,Not Enough Evidence,"Since there is no answer to QA number 2, there is not enough evidence to deduce the claim. Therefore, the label is not enough evidence ",2019-07-02,US Republican Marc Veasey,MSNBC Hardball,US
1976,The U.S. is using SWIFT as a political weapon in its foreign policy.,Refuted,Controlled by Belgium not USA.,2019-07-02,RT,RT,RU
1977,Detainees in US border patrol facilities told by guards to drink water from toilets.,Conflicting Evidence/Cherrypicking,"it is unclear what was being referred to in this case, the answers say ""the women were told they could drink out the bowl"" but It’s unclear whether the reference to toilets was to a sink/toilet combination unit and the tap water from the sink part.",2019-07-02,Catherine Kim,Vox,US
1978,About half of US Customs and Border Patrol agents were members of a secret Facebook group page that included offensive posts.,Not Enough Evidence,The group does exist but there is no mention of numbers who were customs and border patrol agents so the claim can not be supported and refuted.,2019-07-01,Rep. Alexandria Ocasio-Cortez,Twitter,US
1979,Guards had instructed the U.S. Customs and Border Protection detainees to drink water from toilets.,Supported,"The Q&A pair states that members of congress witnessed what is claimed so very likely to be true, and so the claim is supported.",2019-07-01,Rep. Alexandria Ocasio-Cortez,Twitter,US
1980,We spent just over £1 trillion bailing out the banks after the financial crisis.,Refuted,The amount spent was £137 billion.,2019-07-01,Jeremy Hunt MP,,GB
1981,North Korea blew up the office used for South Korea talks.,Supported,The building used was indeed destroyed.,2019-06-30,Moist Fetaphone,Twitter,KP
1982,RSS workers thrash a Dalit woman,Refuted,The video was not related to RSS workers,2019-06-30,Rizwan K Ansari,Facebook,IN
1983,"Section 1325 of the U.S immigration law was ""put into place in 1929, by a segregationist"".",Supported,"True, well written",2019-06-30,Julian Castro,NBC News,US
1984,"President Obama 'begged' to meet with Chairman Kim Jong Un, but Chairman Kim Jong Un refused.",Refuted,QAs show three people who worked for President Obama confirmed that Obama did not beg for a meeting with Kim Jong Un.,2019-06-30,Donald Trump,www.whitehouse.gov in briefings and statements,KR
1985,BJP Mahila Morcha Leader made offensive remarks asking Hindu brothers to rape Muslim mothers and sisters,Supported,Supported by answers and sources given in QA pairs.,2019-06-29,,Facebook,IN
1986,"Migrant children housed at U.S. Customs and Border Protection detention facilities at the border are receiving access to key supplies, including toothbrushes, appropriate meals, blankets, showers as soon as they can be provided and medical screening.",Refuted,"The inspection results and a date that this happened provides concise evidence that even if these services were provided in some places, it was certainly not across the board. ",2019-06-28,acting Homeland Security Secretary Kevin McAleenan,Press conference,US
1987,Kenya's County governments have allocated on average 6.7 % of their total budgets to the agriculture sector,Refuted,"The average of 5.6 and 6.3 is 5.95%, not 6.7%.",2019-06-28,,2019 State of Devolution Address,KE
1988,"Since 2013, County Governments in Kenya have cumulatively received KSh1.57 trillion worth of the equitable share of the allocation of the consolidated fund revenue budget.",Refuted,There is to much of a difference between the confirmed 1.3 and the claimed 1.57 for it just to be a rounding up error.,2019-06-28,Wycliffe Oparanya,,KE
1989,Children in U.S. Customs and Border Protection custody are receiving appropriate meals and showers.,Refuted,Standards are not meeting the required TEDS standards. ,2019-06-28,US acting Homeland Security Secretary Kevin McAleenan,YouTube,US
1990,"In 2013 to 2019 the total shareable revenue in Kenya totalled 7.8 trillion shillings, of which 20% or KSh1.57 trillion was transferred to the counties.",Supported,The answers show that the claim is correct. Therefore the claim is supported.,2019-06-28,,2019 State of Devolution Address,KE
1991,KSh1.57 trillion is equivalent to 20% of the total shareable revenue of 7.8 trillion shillings.,Supported,The numbers appear to add up ,2019-06-28,Wycliffe Oparanya,,KE
1992,"as of 2019, 47 Kenyan counties has met the two-thirds threshold on the appointment of the county executive committee members, with three counties of Kilifi, Nyeri and Kericho attaining a 50-50 representation.",Supported," In Kilifi, Nyeri and Kericho counties there’s gender parity in the composition of the county cabinets.
",2019-06-28,Wycliffe Oparanya ,2019 State of Devolution Address,KE
1993,"Kenya experienced an increase in the number of functional health facilities growing from 9,858 to 10,820 in 2018 across all counties.",Not Enough Evidence,There is no evidence giving the amount of health facilities open in 2018 so I cannot support or refute the claim.,2019-06-28,Wycliffe Oparanya ,2019 State of Devolution Address,KE
1994,"In Kenya, since 2013, county governments have cumulatively received Ksh1.57 trillion worth of equitable share of allocation.",Supported,"From the Q&A it is found that the amount received is correct, as 1.57 falls between 1.514 to 1.611, so the claim is supported. ",2019-06-28,Wycliffe Oparanya,,KE
1995,In Kenya the County Governments’ allocation of 6.7% of their total budgets to the agriculture sector is just 3% less than the 10% recommended allocation for agriculture as per the Comprehensive Africa Agriculture Development Program (CAADP) Malabo declaration.,Refuted,"Both figures are incorrect. Even though one is only out by a few percentage points, the other one is hugely different. So it cant be said to be correct. ",2019-06-28,Wycliffe Oparanya,,KE
1996,KSh1.57 trillion is equivalent to 20% of Kenya's total shareable revenue of KSh7.8 trillion.,Supported,The answers show that 20% is 1.57 trillion  and the revenue amount is also correct so the claim is supported.,2019-06-28,Wycliffe Oparanya,,KE
1997,"In Kenya, the amount of total budgets, allocated for agriculture is just 3% less than the recommended allocation of 10%, as per the Comprehensive Africa Agriculture Development Program (CAADP) Malabo declaration.",Refuted,The 5th answer shows that the difference is more that 3% so the claim is refuted.,2019-06-28,Wycliffe Oparanya,,KE
1998,"In Kenya, for the 2018/19 year under review all County Governments allocated at least 20% of their budgets to health.",Refuted,"Kenya's county governments allocated a 25% share from their budgets, not 20%. Hence, this claim is refuted.",2019-06-28,Wycliffe Oparanya,,KE
1999,"In 2019, each of Kenya's 47 counties met the two-thirds threshold for the appointment of county executive committee members, with Kilifi, Nyeri, and Kericho counties attaining 50-50 gender equality representation.",Supported,Source is the Kenya National Bureau of Statistics and they should know.,2019-06-28,Wycliffe Oparanya,,KE
2000,"So far, each of the 47 counties has met the two-thirds threshold on the appointment of the county executive committee members, with three counties of Kilifi, Nyeri and Kericho attaining a 50-50 representation.",Supported,Supported via numbers in answers.,2019-06-28,Wycliffe Oparanya,,KE
2001,For the year under review all County Governments allocated out of their budgets at least 20% to health.,Refuted,"No, the sources show some County Governments allocated less than 20% to health.",2019-06-28,Wycliffe Oparanya,,KE
2002,"In Kenya, the average development budget allocation by counties over the last six financial years has been 40% surpassing the legal requirement of at least 30%.",Supported,"If rounded up then indeed the percentages are up to 40%, therefore the claim is supported ",2019-06-28,Wycliffe Oparanya,,KE
2003,"In Kenya the number of functional health facilities increased from 9,858 to 10,820 in 2018 across all counties.",Supported,Supported by figures given in the QA pairs.,2019-06-28,Wycliffe Oparanya,,KE
2004,"So far, each of Kenya's 47 counties has met the two-thirds threshold for the appointment of the county executive committee members, with three counties (Kilifi, Nyeri, and Kericho) attaining a 50-50 representation.",Supported,47 counties have met the the two thirds threshold and three counties attained the 50/50 representation. ,2019-06-28,,2019 State of Devolution Address,KE
2005,County governments have allocated on average 6.7 % of their total budgets to the agriculture sector.,Refuted,"As budget allocations usually are made the fiscal year prior to implementation, the Q&A around the 2020 allocation would be helpful.  Using the current stats offered as evidence though, without clarification about which fiscal year is referenced, refuted or not enough evidence are the choices.  Refuted chosen as the most likely scenerio.",2019-06-28,Wycliffe Oparanya,,KE
2006,"In Kenya, County Governments have allocated on average 6.7% of their total budgets to the agriculture sector.",Refuted,The budget was 0.4% lower,2019-06-28,Wycliffe Oparanya,,KE
2007,KSh1.57 trillion is equivalent to 20% of the total shareable revenue of 7.8 trillion shillings in Kenya.,Supported,1.57 is 20% (rounded) of 7.8.,2019-06-28,Wycliffe Oparanya ,2019 State of Devolution Address,KE
2008,"Since 2013, Kenyan County Governments have cumulatively received KSh1.57 trillion worth of equitable share of allocation.",Supported,the amount received is close enough to the claimed amount. ,2019-06-28,Wycliffe Oparanya,,KE
2009,The average development allocation by Kenya's counties over the last six financial years has been 40% surpassing the legal requirement of at least 30%,Supported,"Evidence finds that development budgets reached 44.4% in 2014/15, which is above the legal requirement of at least 30%. The average share for the period 2013–2019 was 39.9%, which was most likely rounded up to 40% in the claim. Hence, this claim is supported.",2019-06-28,,2019 State of Devolution Address,KE
2010,"We experienced an increase in the number of functional health facilities growing from 9,858 to 10,820 in 2018 across all counties.",Supported,Confirmed in QA pair.,2019-06-28,Wycliffe Oparanya,,KE
2011,"In Kenya, county governments have allocated an average of 6.7% of their total budgets to the agriculture sector.",Supported,"Given the claim date then the figure given in Q&A 1 is a great match to the period of the claim,  and as the claim says an 'average' then although the figure is a little lower (6.3%) than the claims 6.7%  as the claim says average then it is around close enough to support the claim",2019-06-28,Wycliffe Oparanya,,KE
2012,"In 2018/2019 in Kenya, all county governments allocated at least 20% of their budgets to health.",Refuted,"There were at least five  counties that allocated less than 20%  to health. The Counties are Kakamega (17.1%), Laikipia (13.4%), Taita Taveta (7.7%), Tana River (17.8%) and Turkana (11.6%).",2019-06-28,Wycliffe Oparanya,,KE
2013,The legal requirement of the Kenyan county government’s budget  allocated to development expenditure is at least 30%.,Supported,Confirmed in QA pair ,2019-06-28,Wycliffe Oparanya,,KE
2014,Kenyan County Governments allocated out of their budgets at least 20% to health in the 2018/19 financial year.,Supported,Supported by figures provided in the QA pairs.,2019-06-28,Wycliffe Oparanya ,2019 State of Devolution Address,KE
2015,"In Kenya, the average development allocation by counties over the 6 years up to 2019 has been 40%, surpassing the legal requirement of at least 30%.",Supported,"So far sine 2017, it has not gone below 30%",2019-06-28,Wycliffe Oparanya,,KE
2016,"According to Wycliffe Oparanya, there was an increase in the number of functional health facilities growing from 9,858 to 10,820 in 2018 across all counties.",Supported,The answer and source show that the numbers in the claim are correct so the claim is supported.,2019-06-28,Wycliffe Oparanya,,KE
2017,"The number of functional health facilities, in Kenya, increased from 9,858 in 2017 to 10,820 in 2018 across all counties.",Supported,Confirmed in QA Pairs.,2019-06-28,Wycliffe Oparanya,,KE
2018,Smallpox Treatment MR-VAC Is A Slow Poison For Children,Refuted,MR-VAC is used for measles and rubella virus and not for smallpox,2019-06-27,,various social media posts,IN
2019,"Cory Brooker vowed not to take contributions from pharma companies, pharma executives or corporate PAC's before his presidential campaign in 2019",Refuted,The answer clearly shows that he received donations from pharmaceutical companies so the claim is refuted.,2019-06-27,Cory Booker,,US
2020,83% of the benefits from the Republican tax law go to the top 1% of income earners in the United States.,Conflicting Evidence/Cherrypicking,"The answers are conflicting, one is by the Tax Policy Centre the other is by the Washing ton Post and neither state 82%",2019-06-27,Bernie Sanders,Night two of the primary election debates,US
2021,Purdue Pharma has had to pay no consequences for their connection to the opioid crisis and overdose deaths in the US,Refuted,Purdue Pharma will pay $270 million to settle a historic opioid lawsuit in Oklahoma,2019-06-27,Beto O'Rourke,,US
2022,"HPV vaccine does reduce viral transmission, helping with eventual cervical cancer elimination",Supported,The answer and source supports this claim that the vaccine will help with the elimination of the cancer in time.,2019-06-27,Katie Sullivan ,NBC news ,US
2023,America has the highest rate of childhood poverty.,Refuted,America does not have the highest rate of childhood poverty,2019-06-27,Bernie Sanders,Night two of the primary election debates,US
2024,"Cory Booker has accepted over $400,000 from the pharmaceutical industry during his political career.",Supported,"Confirmed at $434,
774",2019-06-27,Trump War Room,Twitter,US
2025,California Rep. Eric Swalwell correct in stating he is 'the only person on this stage who has voted and passed background checks'.,Refuted,"California Rep. Eric Swalwell said he was “the only person on this stage who has voted and passed background checks.” That’s false. A campaign spokesperson said he was referring to “universal background checks,” but even that claim is misleading.",2019-06-27,Eric Swalwell,Night two of the primary election debates,US
2026,The bottom 60 percent of American earners have not had an increase in income since 1980,Refuted,Income has increased 32% (although no mention of inflation is made in the claim or the answer),2019-06-27,Tim Ryan,,US
2027,Companies like Halliburton and Amazon pay nothing in US taxes,Conflicting Evidence/Cherrypicking,"Evidence has found that both Amazon and Halliburton pay US taxes. However, there is a contradiction where the evidence has found that it's Amazon's second straight year owing no tax: In 2017, Amazon filed for a $137 million refund on $5.6 billion in profit. Hence, conflicting evidence.",2019-06-27,Cory Booker,,US
2028,President Trump “immediately discontinued” an aid program to Central America which is the cause of surging immigration across the U.S.-Mexico border.,Refuted,Answer support a drop in funding but not an immediate discontinuation which makes the further points of the claim invalid however there was an increase in attempted crossings.,2019-06-27,Joe Biden,Night two of the primary election debates,US
2029,Many of America's 2.3 million prisoners are incarcerated for nonviolent drug crimes,Conflicting Evidence/Cherrypicking,"Evidence finds that there are 2,121,600 prisoners in U.S. prisons, not 2.3 million as the claim states. Evidence also finds that even though most Americans assume the figure is about 50%, somewhat fewer than 15% are incarcerated for drug offenses. Drug offenses are far more prevalent in the federal prison system, but that houses only about 10 percent of all prisoners; most incarcerated people are in state prison. Hence, the evidence is conflicting.",2019-06-27,Beto O'Rourke,,US
2030,"The price of 2,500 drugs has gone up in double digits under Donald Trump's administration",Supported,"2,500 drugs increased in price in 2018 when Trump is the president, according to the Centers for Medicare Services in the United States. ",2019-06-27,Amy Klobuchar,,US
2031,President Donald Trump has thrown 32 million people off their health care that they have.,Conflicting Evidence/Cherrypicking,Not all of the 32million will be taken off their health care,2019-06-27,Bernie Sanders,Night two of the primary election debates,US
2032,The top 1 percent wealthiest control 90 percent of the wealth in the US,Refuted,The third Q&A shows that the control is less than the 90% in the claim so the claim is refuted.,2019-06-27,Tim Ryan,,US
